feature,importance,category
Area_Method_of_Moments_Overall_Average_10,0.040236721628739626,audio:Area_MoM
Area_Method_of_Moments_Overall_Standard_Deviation_5,0.03998587482335802,audio:Area_MoM
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.03944040739158135,audio:marsyas
Area_Method_of_Moments_Overall_Average_6,0.03798806633011501,audio:Area_MoM
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_B_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.03792938134775006,audio:marsyas
MFCC_Overall_Average_2,0.036378103652031916,audio:MFCC_simple
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_D#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.03529573704260914,audio:marsyas
Spectral_Variability_Overall_Average_1,0.03486423969026595,audio:lowlevel
Std_Acc5_Std_Mem20_PeakRatio_Chroma_F_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.03281499419763639,audio:marsyas
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.03155370509897871,audio:marsyas
Area_Method_of_Moments_Overall_Average_3,0.030558588577769812,audio:Area_MoM
Std_Acc5_Mean_Mem20_PeakRatio_Chroma_D_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.02867753011805034,audio:marsyas
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_F#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.019793174489076613,audio:marsyas
Std_Acc5_Std_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.01852106029562611,audio:marsyas
Area_Method_of_Moments_Overall_Standard_Deviation_9,0.016815118348542962,audio:Area_MoM
Mean_Acc5_Mean_Mem20_PeakRatio_Chroma_E_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.016170982333956394,audio:marsyas
Area_Method_of_Moments_Overall_Standard_Deviation_3,0.013723137949303629,audio:Area_MoM
Mean_Acc5_Std_Mem20_PeakRatio_Chroma_C#_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0,0.0,audio:marsyas
